b	T_key	t	phi_b	chi_b/pi	M_b	dy	y_end
0.50	s	0.00	 0	0.500	0.921	1e-05	100.0
0.50	s	0.00	 9	0.500	0.736	1e-05	100.0
0.50	s	0.00	18	0.500	0.597	1e-05	100.0
0.50	s	0.00	27	0.500	0.482	1e-05	100.0
0.50	s	0.00	36	0.500	0.386	1e-05	100.0
0.50	s	0.00	45	0.500	0.304	1e-05	100.0
0.50	s	0.00	54	0.500	0.233	1e-05	100.0
0.50	s	0.00	63	0.500	0.169	1e-05	100.0
0.50	s	0.00	72	0.500	0.110	1e-05	100.0
0.75	s	0.00	 0	0.500	0.853	1e-05	100.0
0.75	s	0.00	 9	0.500	0.711	1e-05	100.0
0.75	s	0.00	18	0.500	0.599	1e-05	100.0
0.75	s	0.00	27	0.500	0.500	1e-05	100.0
0.75	s	0.00	36	0.500	0.410	1e-05	100.0
0.75	s	0.00	45	0.500	0.329	1e-05	100.0
0.75	s	0.00	54	0.500	0.256	1e-05	100.0
0.75	s	0.00	63	0.500	0.187	1e-05	100.0
0.75	s	0.00	72	0.500	0.123	1e-05	100.0
1.00	s	0.00	 0	0.500	0.772	1e-05	100.0
1.00	s	0.00	 9	0.500	0.662	1e-05	100.0
1.00	s	0.00	18	0.500	0.570	1e-05	100.0
1.00	s	0.00	27	0.500	0.485	1e-05	100.0
1.00	s	0.00	36	0.500	0.406	1e-05	100.0
1.00	s	0.00	45	0.500	0.331	1e-05	100.0
1.00	s	0.00	54	0.500	0.260	1e-05	100.0
1.00	s	0.00	63	0.500	0.192	1e-05	100.0
1.00	s	0.00	72	0.500	0.126	1e-05	100.0
1.25	s	0.00	 0	0.500	0.674	1e-05	100.0
1.25	s	0.00	 9	0.500	0.591	1e-05	100.0
1.25	s	0.00	18	0.500	0.517	1e-05	100.0
1.25	s	0.00	27	0.500	0.447	1e-05	100.0
1.25	s	0.00	36	0.500	0.379	1e-05	100.0
1.25	s	0.00	45	0.500	0.313	1e-05	100.0
1.25	s	0.00	54	0.500	0.248	1e-05	100.0
1.25	s	0.00	63	0.500	0.185	1e-05	100.0
1.25	s	0.00	72	0.500	0.123	1e-05	100.0
1.50	s	0.00	 0	0.500	0.556	1e-05	100.0
1.50	s	0.00	 9	0.500	0.495	1e-05	100.0
1.50	s	0.00	18	0.500	0.439	1e-05	100.0
1.50	s	0.00	27	0.500	0.385	1e-05	100.0
1.50	s	0.00	36	0.500	0.332	1e-05	100.0
1.50	s	0.00	45	0.500	0.278	1e-05	100.0
1.50	s	0.00	54	0.500	0.223	1e-05	100.0
1.50	s	0.00	63	0.500	0.167	1e-05	100.0
1.50	s	0.00	72	0.500	0.112	1e-05	100.0
1.75	s	0.00	 0	0.500	0.408	1e-05	100.0
1.75	s	0.00	 9	0.500	0.370	1e-05	100.0
1.75	s	0.00	18	0.500	0.334	1e-05	100.0
1.75	s	0.00	27	0.500	0.298	1e-05	100.0
1.75	s	0.00	36	0.500	0.261	1e-05	100.0
1.75	s	0.00	45	0.500	0.223	1e-05	100.0
1.75	s	0.00	54	0.500	0.182	1e-05	100.0
1.75	s	0.00	63	0.500	0.139	1e-05	100.0
1.50	s	0.00	 0	0.450	0.574	1e-05	100.0
1.50	s	0.00	 0	0.400	0.608	1e-05	100.0
1.50	s	0.00	 0	0.350	0.662	1e-05	100.0
1.50	s	0.00	 0	0.300	0.746	1e-05	100.0
1.50	s	0.00	 0	0.250	0.874	1e-05	100.0
1.50	s	0.00	 9	0.450	0.512	1e-05	100.0
1.50	s	0.00	 9	0.400	0.543	1e-05	100.0
1.50	s	0.00	 9	0.350	0.594	1e-05	100.0
1.50	s	0.00	 9	0.300	0.671	1e-05	100.0
1.75	s	0.00	72	0.500	0.094	1e-05	100.0
1.50	s	0.00	 9	0.250	0.791	1e-05	100.0
1.50	s	0.00	18	0.450	0.455	1e-05	100.0
1.50	s	0.00	18	0.400	0.483	1e-05	100.0
1.50	s	0.00	18	0.350	0.528	1e-05	100.0
1.50	s	0.00	18	0.300	0.599	1e-05	100.0
1.50	s	0.00	18	0.250	0.709	1e-05	100.0
1.50	s	0.00	27	0.450	0.399	1e-05	100.0
1.50	s	0.00	27	0.400	0.423	1e-05	100.0
1.50	s	0.00	27	0.350	0.464	1e-05	100.0
1.50	s	0.00	27	0.300	0.526	1e-05	100.0
1.50	s	0.00	27	0.250	0.624	1e-05	100.0
1.50	s	0.00	36	0.450	0.343	1e-05	100.0
1.50	s	0.00	36	0.400	0.364	1e-05	100.0
1.50	s	0.00	36	0.350	0.398	1e-05	100.0
0.50	s	0.00	 0	0.500	0.921	1e-05	1000.0
0.50	s	0.00	 9	0.500	0.736	1e-05	1000.0
0.50	s	0.00	18	0.500	0.597	1e-05	1000.0
0.50	s	0.00	27	0.500	0.482	1e-05	1000.0
0.50	s	0.00	36	0.500	0.385	1e-05	1000.0
0.50	s	0.00	45	0.500	0.304	1e-05	1000.0
0.50	s	0.00	54	0.500	0.233	1e-05	1000.0
0.50	s	0.00	63	0.500	0.169	1e-05	1000.0
0.50	s	0.00	72	0.500	0.110	1e-05	1000.0
0.75	s	0.00	 0	0.500	0.853	1e-05	1000.0
0.75	s	0.00	 9	0.500	0.711	1e-05	1000.0
0.75	s	0.00	18	0.500	0.599	1e-05	1000.0
0.75	s	0.00	27	0.500	0.499	1e-05	1000.0
0.75	s	0.00	36	0.500	0.410	1e-05	1000.0
0.75	s	0.00	45	0.500	0.329	1e-05	1000.0
0.75	s	0.00	54	0.500	0.255	1e-05	1000.0
1.50	s	0.00	36	0.300	0.451	1e-05	100.0
0.75	s	0.00	63	0.500	0.187	1e-05	1000.0
0.75	s	0.00	72	0.500	0.123	1e-05	1000.0
1.00	s	0.00	 0	0.500	0.771	1e-05	1000.0
1.00	s	0.00	 9	0.500	0.662	1e-05	1000.0
1.00	s	0.00	18	0.500	0.569	1e-05	1000.0
1.00	s	0.00	27	0.500	0.484	1e-05	1000.0
1.00	s	0.00	36	0.500	0.405	1e-05	1000.0
1.00	s	0.00	45	0.500	0.330	1e-05	1000.0
1.00	s	0.00	54	0.500	0.259	1e-05	1000.0
1.00	s	0.00	63	0.500	0.191	1e-05	1000.0
1.00	s	0.00	72	0.500	0.126	1e-05	1000.0
1.25	s	0.00	 0	0.500	0.674	1e-05	1000.0
1.25	s	0.00	 9	0.500	0.590	1e-05	1000.0
1.50	s	0.00	36	0.250	0.536	1e-05	100.0
1.25	s	0.00	18	0.500	0.515	1e-05	1000.0
1.50	s	0.00	45	0.450	0.286	1e-05	100.0
1.50	s	0.00	45	0.400	0.303	1e-05	100.0
1.50	s	0.00	45	0.350	0.331	1e-05	100.0
1.50	s	0.00	45	0.300	0.374	1e-05	100.0
1.50	s	0.00	45	0.250	0.443	1e-05	100.0
1.50	s	0.00	54	0.450	0.229	1e-05	100.0
1.50	s	0.00	54	0.400	0.242	1e-05	100.0
1.50	s	0.00	54	0.350	0.263	1e-05	100.0
1.50	s	0.00	 0	0.500	0.555	1e-05	1000.0
1.25	s	0.00	27	0.500	0.445	1e-05	1000.0
1.25	s	0.00	36	0.500	0.377	1e-05	1000.0
1.25	s	0.00	45	0.500	0.311	1e-05	1000.0
1.50	s	0.00	 9	0.500	0.493	1e-05	1000.0
1.50	s	0.00	18	0.500	0.437	1e-05	1000.0
1.50	s	0.00	27	0.500	0.382	1e-05	1000.0
1.50	s	0.00	36	0.500	0.327	1e-05	1000.0
1.50	s	0.00	45	0.500	0.273	1e-05	1000.0
