b	T_key	t	phi_b	chi_b/pi	M_b	dy	y_end
1.50	s	0.25	 0	0.500	0.524	1e-05	100.0
1.50	c	0.25	 0	0.500	0.508	1e-05	100.0
1.50	s	0.25	36	0.500	0.326	1e-05	100.0
1.50	c	0.25	36	0.500	0.304	1e-05	100.0
1.50	s	0.50	 0	0.500	0.476	1e-05	100.0
1.50	c	0.50	 0	0.500	0.452	1e-05	100.0
1.50	s	0.50	36	0.500	0.309	1e-05	100.0
1.50	c	0.50	36	0.500	0.274	1e-05	100.0
1.50	s	0.25	 0	0.500	0.522	1e-05	1000.0
1.50	c	0.25	 0	0.500	0.506	1e-05	1000.0
1.50	s	0.25	36	0.500	0.322	1e-05	1000.0
1.50	c	0.25	36	0.500	0.300	1e-05	1000.0
1.50	s	0.50	 0	0.500	0.472	1e-05	1000.0
1.50	c	0.50	 0	0.500	0.449	1e-05	1000.0
1.50	s	0.50	36	0.500	0.305	1e-05	1000.0
1.50	c	0.50	36	0.500	0.270	1e-05	1000.0
1.50	s	0.00	 0	0.500	0.555	1e-05	1000.0
1.50	c	0.00	 0	0.500	0.555	1e-05	1000.0
1.50	s	0.00	36	0.500	0.327	1e-05	1000.0
1.50	c	0.00	36	0.500	0.327	1e-05	1000.0
